source,judge,model,curve,threshold,x,y
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,roc,101.0,0.0,0.0
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,pr,101.0,0.0,1.0
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,roc,100.0,0.0,0.3167
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,pr,100.0,0.3167,1.0
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,roc,90.0,0.0,0.325
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,pr,90.0,0.325,1.0
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,roc,88.0,0.0,0.3417
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,pr,88.0,0.3417,1.0
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,roc,85.0,0.0,0.4333
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,pr,85.0,0.4333,1.0
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,roc,82.0,0.0,0.4417
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,pr,82.0,0.4417,1.0
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,roc,80.0,0.0,0.4833
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,pr,80.0,0.4833,1.0
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,roc,75.0,0.0167,0.5583
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,pr,75.0,0.5583,0.9853
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,roc,72.0,0.0333,0.5667
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,pr,72.0,0.5667,0.9714
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,roc,70.0,0.1333,0.7583
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,pr,70.0,0.7583,0.9192
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,roc,68.0,0.15,0.7583
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,pr,68.0,0.7583,0.91
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,roc,65.0,0.1833,0.8167
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,pr,65.0,0.8167,0.8991
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,roc,62.0,0.2167,0.8167
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,pr,62.0,0.8167,0.8829
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,roc,60.0,0.2667,0.8167
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,pr,60.0,0.8167,0.8596
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,roc,55.0,0.2833,0.8167
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,pr,55.0,0.8167,0.8522
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,roc,0.0,1.0,1.0
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,pr,0.0,1.0,0.6667
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,roc,-1.0,1.0,1.0
hybrid:gated/claude-opus-4-8-vlm,hybrid:gated,claude-opus-4-8-vlm,pr,-1.0,1.0,0.6667
