judge,model,family,n_seeds,n_pooled,accuracy_mean,ci_low,ci_high,boot_low,boot_high,identical_across_seeds
hybrid:and,qwen-llm,noise_equivalent,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,qwen-llm,healed_transient,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,qwen-llm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,qwen-llm,variance_increase,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:and,qwen-llm,tail_regression,5,25,0.04,0.007,0.195,0.0,0.12,
hybrid:and,qwen-llm,gradual_drift,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:and,qwen-llm,cross_metric_marginal,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:and,qwen-llm,subtle_regression,5,25,0.96,0.805,0.993,0.88,1.0,
hybrid:gated,deepseek-r1-llm,no_change,5,25,0.92,0.75,0.978,0.84,1.0,
hybrid:gated,deepseek-r1-llm,noise_equivalent,5,25,0.56,0.371,0.733,0.28,0.76,
hybrid:gated,deepseek-r1-llm,healed_transient,5,25,0.12,0.042,0.3,0.0,0.28,
hybrid:gated,deepseek-r1-llm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,deepseek-r1-llm,variance_increase,5,25,0.96,0.805,0.993,0.88,1.0,
hybrid:gated,deepseek-r1-llm,tail_regression,5,25,0.96,0.805,0.993,0.88,1.0,
hybrid:gated,deepseek-r1-llm,gradual_drift,5,25,0.96,0.805,0.993,0.88,1.0,
hybrid:gated,deepseek-r1-llm,cross_metric_marginal,5,25,0.8,0.609,0.911,0.64,0.96,
hybrid:gated,deepseek-r1-llm,subtle_regression,5,25,0.96,0.805,0.993,0.88,1.0,
hybrid:gated,granite-vision-vlm,no_change,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,granite-vision-vlm,noise_equivalent,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,granite-vision-vlm,healed_transient,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,granite-vision-vlm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,granite-vision-vlm,variance_increase,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:gated,granite-vision-vlm,tail_regression,5,25,0.68,0.484,0.828,0.6,0.84,
hybrid:gated,granite-vision-vlm,gradual_drift,5,25,0.04,0.007,0.195,0.0,0.12,
hybrid:gated,granite-vision-vlm,cross_metric_marginal,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:gated,granite-vision-vlm,subtle_regression,5,25,0.96,0.805,0.993,0.88,1.0,
hybrid:gated,minicpm-v-vlm,no_change,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,minicpm-v-vlm,noise_equivalent,5,25,0.88,0.7,0.958,0.8,0.96,
hybrid:gated,minicpm-v-vlm,healed_transient,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:gated,minicpm-v-vlm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,minicpm-v-vlm,variance_increase,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,minicpm-v-vlm,tail_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,minicpm-v-vlm,gradual_drift,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:gated,minicpm-v-vlm,cross_metric_marginal,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:gated,minicpm-v-vlm,subtle_regression,5,25,0.96,0.805,0.993,0.88,1.0,
hybrid:gated,mistral-nemo-llm,no_change,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,mistral-nemo-llm,noise_equivalent,5,25,0.68,0.484,0.828,0.44,0.92,
hybrid:gated,mistral-nemo-llm,healed_transient,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:gated,mistral-nemo-llm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,mistral-nemo-llm,variance_increase,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,mistral-nemo-llm,tail_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,mistral-nemo-llm,gradual_drift,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,mistral-nemo-llm,cross_metric_marginal,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:gated,mistral-nemo-llm,subtle_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,moondream-vlm,no_change,5,25,0.84,0.653,0.936,0.68,1.0,
hybrid:gated,moondream-vlm,noise_equivalent,5,25,0.84,0.653,0.936,0.72,0.96,
hybrid:gated,moondream-vlm,healed_transient,5,25,0.96,0.805,0.993,0.88,1.0,
hybrid:gated,moondream-vlm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,moondream-vlm,variance_increase,5,25,0.12,0.042,0.3,0.04,0.2,
hybrid:gated,moondream-vlm,tail_regression,5,25,0.36,0.202,0.555,0.16,0.56,
hybrid:gated,moondream-vlm,gradual_drift,5,25,0.52,0.335,0.7,0.32,0.68,
hybrid:gated,moondream-vlm,cross_metric_marginal,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,moondream-vlm,subtle_regression,5,25,0.96,0.805,0.993,0.88,1.0,
hybrid:gated,olmo2-llm,no_change,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:gated,olmo2-llm,noise_equivalent,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:gated,olmo2-llm,healed_transient,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:gated,olmo2-llm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,olmo2-llm,variance_increase,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,olmo2-llm,tail_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,olmo2-llm,gradual_drift,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,olmo2-llm,cross_metric_marginal,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,olmo2-llm,subtle_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,phi4-llm,no_change,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,phi4-llm,noise_equivalent,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,phi4-llm,healed_transient,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:gated,phi4-llm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,phi4-llm,variance_increase,5,25,0.8,0.609,0.911,0.6,0.96,
hybrid:gated,phi4-llm,tail_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,phi4-llm,gradual_drift,5,25,0.88,0.7,0.958,0.8,0.96,
hybrid:gated,phi4-llm,cross_metric_marginal,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:gated,phi4-llm,subtle_regression,5,25,0.96,0.805,0.993,0.88,1.0,
hybrid:gated,qwen-llm,no_change,5,25,0.84,0.653,0.936,0.72,0.96,
hybrid:gated,qwen-llm,noise_equivalent,5,25,0.36,0.202,0.555,0.24,0.48,
hybrid:gated,qwen-llm,healed_transient,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:gated,qwen-llm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,qwen-llm,variance_increase,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,qwen-llm,tail_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,qwen-llm,gradual_drift,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:gated,qwen-llm,cross_metric_marginal,5,25,0.12,0.042,0.3,0.04,0.2,
hybrid:gated,qwen-llm,subtle_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,deepseek-r1-llm,no_change,5,25,0.92,0.75,0.978,0.84,1.0,
hybrid:or,deepseek-r1-llm,noise_equivalent,5,25,0.56,0.371,0.733,0.28,0.76,
hybrid:or,deepseek-r1-llm,healed_transient,5,25,0.12,0.042,0.3,0.0,0.28,
hybrid:or,deepseek-r1-llm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,deepseek-r1-llm,variance_increase,5,25,0.96,0.805,0.993,0.88,1.0,
hybrid:or,deepseek-r1-llm,tail_regression,5,25,0.96,0.805,0.993,0.88,1.0,
hybrid:or,deepseek-r1-llm,gradual_drift,5,25,0.96,0.805,0.993,0.88,1.0,
hybrid:or,deepseek-r1-llm,cross_metric_marginal,5,25,0.8,0.609,0.911,0.64,0.96,
hybrid:or,deepseek-r1-llm,subtle_regression,5,25,0.96,0.805,0.993,0.88,1.0,
hybrid:or,granite-vision-vlm,no_change,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,granite-vision-vlm,noise_equivalent,5,25,1.0,0.867,1.0,1.0,1.0,yes
